ENLIGHTEN Version,3.2.6
Measurement ID,,,20221201-172225-540274-WP-00643,,20221201-172229-507949-WP-00643,,20221201-172230-539213-WP-00643,,20221201-172231-396253-WP-00643,,20221201-172232-292268-WP-00643,,20221201-172233-139953-WP-00643,,20221201-172234-356262-WP-00643,,20221201-172235-267829-WP-00643,,20221201-172236-268166-WP-00643,,20221201-172237-227801-WP-00643,,20221201-172238-531682-WP-00643,,20221201-172239-612194-WP-00643,,20221201-172240-620328-WP-00643,,20221201-172244-659680-WP-00643,,20221201-172246-004138-WP-00643,,20221201-172247-092743-WP-00643,,20221201-172247-883144-WP-00643,,20221201-172249-051160-WP-00643,,20221201-172250-133531-WP-00643,,20221201-172251-300319-WP-00643,,20221201-172252-427883-WP-00643,,20221201-172253-516066-WP-00643,,20221201-172254-388870-WP-00643,,20221201-172255-492895-WP-00643,,20221201-172256-372676-WP-00643,,20221201-172257-612126-WP-00643,,20221201-172258-371865-WP-00643,,20221201-172259-076426-WP-00643,,20221201-172300-188292-WP-00643,,20221201-172301-155066-WP-00643,,20221201-172303-164133-WP-00643,,20221201-172304-515968-WP-00643,,20221201-172305-699779-WP-00643,,20221201-172306-828090-WP-00643,,20221201-172307-828109-WP-00643,,20221201-172309-060137-WP-00643,,20221201-172310-675753-WP-00643,,20221201-172311-932129-WP-00643,,20221201-172313-676089-WP-00643,,20221201-172314-684596-WP-00643,,20221201-172316-139048-WP-00643,,20221201-172317-876131-WP-00643,,20221201-172318-963915-WP-00643,,20221201-172320-051707-WP-00643,,20221201-172321-276280-WP-00643,,20221201-172324-603710-WP-00643,,20221201-172325-964330-WP-00643,,20221201-172327-571826-WP-00643,,20221201-172328-756947-WP-00643,,20221201-172330-076029-WP-00643,,20221201-172331-019986-WP-00643,,20221201-172332-499738-WP-00643,,20221201-172333-643699-WP-00643,,20221201-172334-562961-WP-00643,,20221201-172335-780129-WP-00643,,20221201-172336-988003-WP-00643,,20221201-172338-169756-WP-00643,,20221201-172339-331693-WP-00643,,20221201-172340-291910-WP-00643,,20221201-172341-251753-WP-00643,
Serial Number,,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,
Model,,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,
Detector,,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,
Label,,,17:22:25 WP-00643,,17:22:29 WP-00643,,17:22:30 WP-00643,,17:22:31 WP-00643,,17:22:32 WP-00643,,17:22:33 WP-00643,,17:22:34 WP-00643,,17:22:35 WP-00643,,17:22:36 WP-00643,,17:22:37 WP-00643,,17:22:38 WP-00643,,17:22:39 WP-00643,,17:22:40 WP-00643,,17:22:44 WP-00643,,17:22:46 WP-00643,,17:22:47 WP-00643,,17:22:47 WP-00643,,17:22:49 WP-00643,,17:22:50 WP-00643,,17:22:51 WP-00643,,17:22:52 WP-00643,,17:22:53 WP-00643,,17:22:54 WP-00643,,17:22:55 WP-00643,,17:22:56 WP-00643,,17:22:57 WP-00643,,17:22:58 WP-00643,,17:22:59 WP-00643,,17:23:00 WP-00643,,17:23:01 WP-00643,,17:23:03 WP-00643,,17:23:04 WP-00643,,17:23:05 WP-00643,,17:23:06 WP-00643,,17:23:07 WP-00643,,17:23:09 WP-00643,,17:23:10 WP-00643,,17:23:11 WP-00643,,17:23:13 WP-00643,,17:23:14 WP-00643,,17:23:16 WP-00643,,17:23:17 WP-00643,,17:23:18 WP-00643,,17:23:20 WP-00643,,17:23:21 WP-00643,,17:23:24 WP-00643,,17:23:25 WP-00643,,17:23:27 WP-00643,,17:23:28 WP-00643,,17:23:30 WP-00643,,17:23:31 WP-00643,,17:23:32 WP-00643,,17:23:33 WP-00643,,17:23:34 WP-00643,,17:23:35 WP-00643,,17:23:36 WP-00643,,17:23:38 WP-00643,,17:23:39 WP-00643,,17:23:40 WP-00643,,17:23:41 WP-00643,
Declared Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declared Score,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Scan Averaging,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Boxcar,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Correction Algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
