ENLIGHTEN Version,3.2.6
Measurement ID,,20221201-193246-189650-WP-00643,,20221201-193246-861967-WP-00643,,20221201-193247-781240-WP-00643,,20221201-193248-437655-WP-00643,,20221201-193249-133565-WP-00643,,20221201-193249-909787-WP-00643,,20221201-193250-613682-WP-00643,,20221201-193251-421652-WP-00643,,20221201-193252-469675-WP-00643,,20221201-193253-332621-WP-00643,,20221201-193254-341134-WP-00643,,20221201-193255-428959-WP-00643,,20221201-193256-695515-WP-00643,,20221201-193257-710117-WP-00643,,20221201-193258-452986-WP-00643,,20221201-193259-573634-WP-00643,,20221201-193300-853812-WP-00643,,20221201-193301-917627-WP-00643,,20221201-193302-677982-WP-00643,,20221201-193303-356596-WP-00643,,20221201-193304-181631-WP-00643,,20221201-193305-116945-WP-00643,,20221201-193305-981672-WP-00643,,20221201-193306-923667-WP-00643,,20221201-193309-605585-WP-00643,,20221201-193310-365795-WP-00643,,20221201-193311-574293-WP-00643,,20221201-193312-492991-WP-00643,,20221201-193313-293571-WP-00643,,20221201-193314-430143-WP-00643,,20221201-193315-437580-WP-00643,,20221201-193316-210372-WP-00643,,20221201-193317-509384-WP-00643,,20221201-193318-261773-WP-00643,,20221201-193319-433705-WP-00643,,20221201-193320-661354-WP-00643,,20221201-193321-773496-WP-00643,,20221201-193323-045556-WP-00643,,20221201-193323-767339-WP-00643,,20221201-193324-763170-WP-00643,,20221201-193325-628785-WP-00643,,20221201-193326-605514-WP-00643,,20221201-193327-475610-WP-00643,,20221201-193328-285616-WP-00643,,20221201-193329-181495-WP-00643,,20221201-193330-044505-WP-00643,,20221201-193333-013035-WP-00643,,20221201-193334-293069-WP-00643,,20221201-193335-189833-WP-00643,,20221201-193336-141822-WP-00643,,20221201-193337-349707-WP-00643,,20221201-193338-444460-WP-00643,,20221201-193339-198310-WP-00643,,20221201-193340-214967-WP-00643,,20221201-193341-085484-WP-00643,,20221201-193341-917794-WP-00643,,20221201-193343-254824-WP-00643,,20221201-193345-117469-WP-00643,,20221201-193347-525798-WP-00643,,20221201-193348-213804-WP-00643,
Serial Number,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,
Model,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,
Detector,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,
Label,,19:32:46 WP-00643,,19:32:46 WP-00643,,19:32:47 WP-00643,,19:32:48 WP-00643,,19:32:49 WP-00643,,19:32:49 WP-00643,,19:32:50 WP-00643,,19:32:51 WP-00643,,19:32:52 WP-00643,,19:32:53 WP-00643,,19:32:54 WP-00643,,19:32:55 WP-00643,,19:32:56 WP-00643,,19:32:57 WP-00643,,19:32:58 WP-00643,,19:32:59 WP-00643,,19:33:00 WP-00643,,19:33:01 WP-00643,,19:33:02 WP-00643,,19:33:03 WP-00643,,19:33:04 WP-00643,,19:33:05 WP-00643,,19:33:05 WP-00643,,19:33:06 WP-00643,,19:33:09 WP-00643,,19:33:10 WP-00643,,19:33:11 WP-00643,,19:33:12 WP-00643,,19:33:13 WP-00643,,19:33:14 WP-00643,,19:33:15 WP-00643,,19:33:16 WP-00643,,19:33:17 WP-00643,,19:33:18 WP-00643,,19:33:19 WP-00643,,19:33:20 WP-00643,,19:33:21 WP-00643,,19:33:23 WP-00643,,19:33:23 WP-00643,,19:33:24 WP-00643,,19:33:25 WP-00643,,19:33:26 WP-00643,,19:33:27 WP-00643,,19:33:28 WP-00643,,19:33:29 WP-00643,,19:33:30 WP-00643,,19:33:33 WP-00643,,19:33:34 WP-00643,,19:33:35 WP-00643,,19:33:36 WP-00643,,19:33:37 WP-00643,,19:33:38 WP-00643,,19:33:39 WP-00643,,19:33:40 WP-00643,,19:33:41 WP-00643,,19:33:41 WP-00643,,19:33:43 WP-00643,,19:33:45 WP-00643,,19:33:47 WP-00643,,19:33:48 WP-00643,
Declared Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declared Score,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Scan Averaging,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Boxcar,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Correction Algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
