ENLIGHTEN Version,3.2.6
Measurement ID,,20221206-095904-642267-WP-00643,,20221206-095905-586763-WP-00643,,20221206-095906-506802-WP-00643,,20221206-095907-570752-WP-00643,,20221206-095908-370599-WP-00643,,20221206-095909-130702-WP-00643,,20221206-095909-930660-WP-00643,,20221206-095910-817316-WP-00643,,20221206-095911-602755-WP-00643,,20221206-095912-546597-WP-00643,,20221206-095913-823103-WP-00643,,20221206-095914-698860-WP-00643,,20221206-095915-913799-WP-00643,,20221206-095916-954657-WP-00643,,20221206-095918-010335-WP-00643,,20221206-095918-674578-WP-00643,,20221206-095919-610711-WP-00643,,20221206-095920-338559-WP-00643,,20221206-095921-030374-WP-00643,,20221206-095921-594705-WP-00643,,20221206-095922-210163-WP-00643,,20221206-095922-847134-WP-00643,,20221206-095923-402006-WP-00643,,20221206-095923-870195-WP-00643,,20221206-095924-554653-WP-00643,,20221206-095925-171549-WP-00643,,20221206-095925-714607-WP-00643,,20221206-095926-410667-WP-00643,,20221206-095926-907665-WP-00643,,20221206-095927-530671-WP-00643,,20221206-095928-218597-WP-00643,,20221206-095928-695944-WP-00643,,20221206-095929-178611-WP-00643,,20221206-095929-754654-WP-00643,,20221206-095930-314480-WP-00643,,20221206-095930-886787-WP-00643,,20221206-095931-546647-WP-00643,,20221206-095932-092857-WP-00643,,20221206-095932-610610-WP-00643,,20221206-095933-106102-WP-00643,,20221206-095933-626695-WP-00643,,20221206-095934-122639-WP-00643,,20221206-095934-764622-WP-00643,,20221206-095935-178619-WP-00643,,20221206-095935-631659-WP-00643,,20221206-095936-146556-WP-00643,,20221206-095936-667147-WP-00643,,20221206-095937-220336-WP-00643,,20221206-095937-714566-WP-00643,,20221206-095938-266532-WP-00643,,20221206-095938-844893-WP-00643,,20221206-095939-427994-WP-00643,,20221206-095939-922551-WP-00643,,20221206-095940-401560-WP-00643,,20221206-095940-938819-WP-00643,,20221206-095941-306514-WP-00643,,20221206-095941-738501-WP-00643,,20221206-095942-195934-WP-00643,,20221206-095942-602319-WP-00643,,20221206-095943-162580-WP-00643,,20221206-100004-372663-WP-00643,,20221206-100004-922300-WP-00643,,20221206-100005-314107-WP-00643,,20221206-100005-754560-WP-00643,,20221206-100006-154369-WP-00643,,20221206-100006-554355-WP-00643,,20221206-100006-963039-WP-00643,,20221206-100007-378441-WP-00643,,20221206-100007-746420-WP-00643,,20221206-100008-203342-WP-00643,,20221206-100012-634933-WP-00643,,20221206-100013-054968-WP-00643,,20221206-100013-441372-WP-00643,,20221206-100013-930394-WP-00643,,20221206-100014-298659-WP-00643,,20221206-100014-690547-WP-00643,,20221206-100015-129281-WP-00643,,20221206-100015-681326-WP-00643,,20221206-100016-227221-WP-00643,,20221206-100016-691004-WP-00643,,20221206-100017-250374-WP-00643,,20221206-100017-833841-WP-00643,,20221206-100018-290346-WP-00643,,20221206-100018-722149-WP-00643,,20221206-100019-226293-WP-00643,,20221206-100019-625605-WP-00643,,20221206-100020-066315-WP-00643,,20221206-100020-458361-WP-00643,,20221206-100021-012355-WP-00643,,20221206-100021-281535-WP-00643,,20221206-100021-754348-WP-00643,,20221206-100022-217320-WP-00643,,20221206-100022-601533-WP-00643,,20221206-100023-194332-WP-00643,,20221206-100023-586667-WP-00643,,20221206-100024-074335-WP-00643,,20221206-100024-522308-WP-00643,,20221206-100025-002065-WP-00643,,20221206-100025-826266-WP-00643,,20221206-100026-437641-WP-00643,
Serial Number,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,
Model,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,
Detector,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,,S11511,
Label,,09:59:04 WP-00643,,09:59:05 WP-00643,,09:59:06 WP-00643,,09:59:07 WP-00643,,09:59:08 WP-00643,,09:59:09 WP-00643,,09:59:09 WP-00643,,09:59:10 WP-00643,,09:59:11 WP-00643,,09:59:12 WP-00643,,09:59:13 WP-00643,,09:59:14 WP-00643,,09:59:15 WP-00643,,09:59:16 WP-00643,,09:59:18 WP-00643,,09:59:18 WP-00643,,09:59:19 WP-00643,,09:59:20 WP-00643,,09:59:21 WP-00643,,09:59:21 WP-00643,,09:59:22 WP-00643,,09:59:22 WP-00643,,09:59:23 WP-00643,,09:59:23 WP-00643,,09:59:24 WP-00643,,09:59:25 WP-00643,,09:59:25 WP-00643,,09:59:26 WP-00643,,09:59:26 WP-00643,,09:59:27 WP-00643,,09:59:28 WP-00643,,09:59:28 WP-00643,,09:59:29 WP-00643,,09:59:29 WP-00643,,09:59:30 WP-00643,,09:59:30 WP-00643,,09:59:31 WP-00643,,09:59:32 WP-00643,,09:59:32 WP-00643,,09:59:33 WP-00643,,09:59:33 WP-00643,,09:59:34 WP-00643,,09:59:34 WP-00643,,09:59:35 WP-00643,,09:59:35 WP-00643,,09:59:36 WP-00643,,09:59:36 WP-00643,,09:59:37 WP-00643,,09:59:37 WP-00643,,09:59:38 WP-00643,,09:59:38 WP-00643,,09:59:39 WP-00643,,09:59:39 WP-00643,,09:59:40 WP-00643,,09:59:40 WP-00643,,09:59:41 WP-00643,,09:59:41 WP-00643,,09:59:42 WP-00643,,09:59:42 WP-00643,,09:59:43 WP-00643,,10:00:04 WP-00643,,10:00:04 WP-00643,,10:00:05 WP-00643,,10:00:05 WP-00643,,10:00:06 WP-00643,,10:00:06 WP-00643,,10:00:06 WP-00643,,10:00:07 WP-00643,,10:00:07 WP-00643,,10:00:08 WP-00643,,10:00:12 WP-00643,,10:00:13 WP-00643,,10:00:13 WP-00643,,10:00:13 WP-00643,,10:00:14 WP-00643,,10:00:14 WP-00643,,10:00:15 WP-00643,,10:00:15 WP-00643,,10:00:16 WP-00643,,10:00:16 WP-00643,,10:00:17 WP-00643,,10:00:17 WP-00643,,10:00:18 WP-00643,,10:00:18 WP-00643,,10:00:19 WP-00643,,10:00:19 WP-00643,,10:00:20 WP-00643,,10:00:20 WP-00643,,10:00:21 WP-00643,,10:00:21 WP-00643,,10:00:21 WP-00643,,10:00:22 WP-00643,,10:00:22 WP-00643,,10:00:23 WP-00643,,10:00:23 WP-00643,,10:00:24 WP-00643,,10:00:24 WP-00643,,10:00:25 WP-00643,,10:00:25 WP-00643,,10:00:26 WP-00643,
Declared Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declared Score,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Scan Averaging,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Boxcar,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
