ENLIGHTEN Version,2.2.7
Measurement ID,,,20220713-113902-298744-WP-00643,,20220713-113904-950574-WP-00643,,20220713-113907-454218-WP-00643,,20220713-113909-634578-WP-00643,,20220713-113911-555654-WP-00643,,20220713-113913-539603-WP-00643,,20220713-113915-123530-WP-00643,,20220713-113916-675723-WP-00643,,20220713-113918-752199-WP-00643,,20220713-113920-778653-WP-00643,
Serial Number,,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,
Model,,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,
Label,,,11:39:02 WP-00643,,11:39:04 WP-00643,,11:39:07 WP-00643,,11:39:09 WP-00643,,11:39:11 WP-00643,,11:39:13 WP-00643,,11:39:15 WP-00643,,11:39:16 WP-00643,,11:39:18 WP-00643,,11:39:20 WP-00643,
Declared Match,,,,,,,,,,,,,,,,,,,,,,
Declared Score,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Scan Averaging,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Boxcar,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Technique,,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,
Baseline Correction Algo,,,,,,,,,,,,,,,,,,,,,,
ROI Pixel Start,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
ROI Pixel End,,,1023,,1023,,1023,,1023,,1023,,1023,,1023,,1023,,1023,,1023,
Slit Width,,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,
Vignetted,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Interpolated,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Raman Intensity Corrected,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Deconvolved,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Integration Time,,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,
Timestamp,,,2022-07-13 11:39:02.298744,,2022-07-13 11:39:04.950574,,2022-07-13 11:39:07.454218,,2022-07-13 11:39:09.634578,,2022-07-13 11:39:11.555654,,2022-07-13 11:39:13.539603,,2022-07-13 11:39:15.123530,,2022-07-13 11:39:16.675723,,2022-07-13 11:39:18.752199,,2022-07-13 11:39:20.778653,
Note,,,D-glucosamine-HCl,,D-glucosamine-HCl,,D-glucosamine-HCl,,D-glucosamine-HCl,,D-glucosamine-HCl,,D-glucosamine-HCl,,D-glucosamine-HCl,,D-glucosamine-HCl,,D-glucosamine-HCl,,D-glucosamine-HCl,
Temperature,,,10.010850297268917,,10.010850297268917,,10.02788583696173,,10.010850297268917,,10.02788583696173,,10.02788583696173,,10.010850297268917,,10.010850297268917,,10.010850297268917,,10.044919776654524,
CCD C0,,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,
