ENLIGHTEN Version,2.2.7
Measurement ID,,,20220713-113304-309796-WP-00643,,20220713-113308-541778-WP-00643,,20220713-113311-493759-WP-00643,,20220713-113316-093733-WP-00643,,20220713-113320-285712-WP-00643,,20220713-113323-949690-WP-00643,,20220713-113329-692658-WP-00643,,20220713-113340-157601-WP-00643,,20220713-113345-197570-WP-00643,,20220713-113349-325548-WP-00643,
Serial Number,,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,
Model,,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,
Label,,,11:33:04 WP-00643,,11:33:08 WP-00643,,11:33:11 WP-00643,,11:33:16 WP-00643,,11:33:20 WP-00643,,11:33:23 WP-00643,,11:33:29 WP-00643,,11:33:40 WP-00643,,11:33:45 WP-00643,,11:33:49 WP-00643,
Declared Match,,,,,,,,,,,,,,,,,,,,,,
Declared Score,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Scan Averaging,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Boxcar,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Technique,,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,
Baseline Correction Algo,,,,,,,,,,,,,,,,,,,,,,
ROI Pixel Start,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
ROI Pixel End,,,1023,,1023,,1023,,1023,,1023,,1023,,1023,,1023,,1023,,1023,
Slit Width,,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,
Vignetted,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Interpolated,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Raman Intensity Corrected,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Deconvolved,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Integration Time,,,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,
Timestamp,,,2022-07-13 11:33:04.309796,,2022-07-13 11:33:08.541778,,2022-07-13 11:33:11.493759,,2022-07-13 11:33:16.093733,,2022-07-13 11:33:20.285712,,2022-07-13 11:33:23.949690,,2022-07-13 11:33:29.692658,,2022-07-13 11:33:40.157601,,2022-07-13 11:33:45.197570,,2022-07-13 11:33:49.325548,
Note,,,DL-alanine,,DL-alanine,,DL-alanine,,DL-alanine,,DL-alanine,,DL-alanine,,DL-alanine,,DL-alanine,,DL-alanine,,DL-alanine,
Temperature,,,10.044919776654524,,10.02788583696173,,9.993813157576085,,10.010850297268917,,10.02788583696173,,10.010850297268917,,10.010850297268917,,10.010850297268917,,10.010850297268917,,10.010850297268917,
CCD C0,,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,
