ENLIGHTEN Version,2.2.7
Measurement ID,,,20220713-113530-420981-WP-00643,,20220713-113533-123888-WP-00643,,20220713-113535-300914-WP-00643,,20220713-113537-556841-WP-00643,,20220713-113539-901941-WP-00643,,20220713-113542-461095-WP-00643,,20220713-113544-844673-WP-00643,,20220713-113547-484886-WP-00643,,20220713-113551-524863-WP-00643,,20220713-113555-124842-WP-00643,
Serial Number,,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,
Model,,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,
Label,,,11:35:30 WP-00643,,11:35:33 WP-00643,,11:35:35 WP-00643,,11:35:37 WP-00643,,11:35:39 WP-00643,,11:35:42 WP-00643,,11:35:44 WP-00643,,11:35:47 WP-00643,,11:35:51 WP-00643,,11:35:55 WP-00643,
Declared Match,,,,,,,,,,,,,,,,,,,,,,
Declared Score,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Scan Averaging,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Boxcar,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Technique,,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,
Baseline Correction Algo,,,,,,,,,,,,,,,,,,,,,,
ROI Pixel Start,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
ROI Pixel End,,,1023,,1023,,1023,,1023,,1023,,1023,,1023,,1023,,1023,,1023,
Slit Width,,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,
Vignetted,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Interpolated,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Raman Intensity Corrected,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Deconvolved,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Integration Time,,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,
Timestamp,,,2022-07-13 11:35:30.420981,,2022-07-13 11:35:33.123888,,2022-07-13 11:35:35.300914,,2022-07-13 11:35:37.556841,,2022-07-13 11:35:39.901941,,2022-07-13 11:35:42.461095,,2022-07-13 11:35:44.844673,,2022-07-13 11:35:47.484886,,2022-07-13 11:35:51.524863,,2022-07-13 11:35:55.124842,
Note,,,L-asparagine,,L-asparagine,,L-asparagine,,L-asparagine,,L-asparagine,,L-asparagine,,L-asparagine,,L-asparagine,,L-asparagine,,L-asparagine,
Temperature,,,10.010850297268917,,10.010850297268917,,10.044919776654524,,10.02788583696173,,10.010850297268917,,10.010850297268917,,9.993813157576085,,10.010850297268917,,10.044919776654524,,10.02788583696173,
CCD C0,,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,
