ENLIGHTEN Version,2.2.7
Measurement ID,,,20220713-113723-915279-WP-00643,,20220713-113726-240718-WP-00643,,20220713-113728-115850-WP-00643,,20220713-113730-916235-WP-00643,,20220713-113733-338937-WP-00643,,20220713-113735-179244-WP-00643,,20220713-113737-964264-WP-00643,,20220713-113739-652274-WP-00643,,20220713-113741-709111-WP-00643,,20220713-113746-084193-WP-00643,
Serial Number,,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,
Model,,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,
Label,,,11:37:23 WP-00643,,11:37:26 WP-00643,,11:37:28 WP-00643,,11:37:30 WP-00643,,11:37:33 WP-00643,,11:37:35 WP-00643,,11:37:37 WP-00643,,11:37:39 WP-00643,,11:37:41 WP-00643,,11:37:46 WP-00643,
Declared Match,,,,,,,,,,,,,,,,,,,,,,
Declared Score,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Scan Averaging,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Boxcar,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Technique,,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,
Baseline Correction Algo,,,,,,,,,,,,,,,,,,,,,,
ROI Pixel Start,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
ROI Pixel End,,,1023,,1023,,1023,,1023,,1023,,1023,,1023,,1023,,1023,,1023,
Slit Width,,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,
Vignetted,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Interpolated,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Raman Intensity Corrected,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Deconvolved,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Integration Time,,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,
Timestamp,,,2022-07-13 11:37:23.915279,,2022-07-13 11:37:26.240718,,2022-07-13 11:37:28.115850,,2022-07-13 11:37:30.916235,,2022-07-13 11:37:33.338937,,2022-07-13 11:37:35.179244,,2022-07-13 11:37:37.964264,,2022-07-13 11:37:39.652274,,2022-07-13 11:37:41.709111,,2022-07-13 11:37:46.084193,
Note,,,L-aspartic-acid,,L-aspartic-acid,,L-aspartic-acid,,L-aspartic-acid,,L-aspartic-acid,,L-aspartic-acid,,L-aspartic-acid,,L-aspartic-acid,,L-aspartic-acid,,L-aspartic-acid,
Temperature,,,10.010850297268917,,10.0619521163473,,10.010850297268917,,10.044919776654524,,10.044919776654524,,10.02788583696173,,10.010850297268917,,10.02788583696173,,10.010850297268917,,9.993813157576085,
CCD C0,,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,
