ENLIGHTEN Version,2.2.7
Measurement ID,,,20220713-113440-108257-WP-00643,,20220713-113443-236216-WP-00643,,20220713-113445-877229-WP-00643,,20220713-113450-964414-WP-00643,,20220713-113453-605187-WP-00643,,20220713-113457-188648-WP-00643,,20220713-113500-261151-WP-00643,,20220713-113502-424566-WP-00643,,20220713-113504-973124-WP-00643,,20220713-113507-365110-WP-00643,
Serial Number,,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,,WP-00643,
Model,,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,,WP-785-R-SR-LMMF,
Label,,,11:34:40 WP-00643,,11:34:43 WP-00643,,11:34:45 WP-00643,,11:34:50 WP-00643,,11:34:53 WP-00643,,11:34:57 WP-00643,,11:35:00 WP-00643,,11:35:02 WP-00643,,11:35:04 WP-00643,,11:35:07 WP-00643,
Declared Match,,,,,,,,,,,,,,,,,,,,,,
Declared Score,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Scan Averaging,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Boxcar,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Technique,,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,,Scope,
Baseline Correction Algo,,,,,,,,,,,,,,,,,,,,,,
ROI Pixel Start,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
ROI Pixel End,,,1023,,1023,,1023,,1023,,1023,,1023,,1023,,1023,,1023,,1023,
Slit Width,,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,
Vignetted,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Interpolated,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Raman Intensity Corrected,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Deconvolved,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
Integration Time,,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,
Timestamp,,,2022-07-13 11:34:40.108257,,2022-07-13 11:34:43.236216,,2022-07-13 11:34:45.877229,,2022-07-13 11:34:50.964414,,2022-07-13 11:34:53.605187,,2022-07-13 11:34:57.188648,,2022-07-13 11:35:00.261151,,2022-07-13 11:35:02.424566,,2022-07-13 11:35:04.973124,,2022-07-13 11:35:07.365110,
Note,,,L-histidine,,L-histidine,,L-histidine,,L-histidine,,L-histidine,,L-histidine,,L-histidine,,L-histidine,,L-histidine,,L-histidine,
Temperature,,,10.010850297268917,,10.02788583696173,,10.010850297268917,,10.010850297268917,,10.02788583696173,,10.044919776654524,,10.02788583696173,,10.02788583696173,,9.993813157576085,,10.02788583696173,
CCD C0,,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,
